alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.1,1,H,14.397167,0.63867,3136737545
0.1,1,N,14.397167,0.755243,9478892541
0.1,2,H,9.396637,0.620748,2989970964
0.1,2,N,9.396637,0.646649,9069672693
0.1,3,H,8.680375,0.62658,2883096491
0.1,3,N,8.680375,0.647185,8935692747
0.1,4,H,7.776186,0.632039,2827922933
0.1,4,N,7.776186,0.626877,8902361375
0.1,5,H,6.675203,0.631586,2799030643
0.1,5,N,6.675203,0.646677,8939684272
0.1,6,H,6.975015,0.652504,2787108352
0.1,6,N,6.975015,0.627028,8957854019
0.1,7,H,7.274965,0.632153,2777618174
0.1,7,N,7.274965,0.622818,9015405451
0.1,8,H,7.574951,0.638792,2776073775
0.1,8,N,7.574951,0.65825,9092028520
0.1,9,H,7.874947,0.636045,2779242090
0.1,9,N,7.874947,0.622057,9157262119
0.1,10,H,6.174946,0.639178,2782235106
0.1,10,N,6.174946,0.648361,9254321223
0.1,11,H,6.374946,0.634454,2792339485
0.1,11,N,6.374946,0.626602,9320337639
0.1,12,H,6.574946,0.636454,2802751965
0.1,12,N,6.574946,0.6326,9387624743
0.15,1,H,9.78641,0.644654,3062124109
0.15,1,N,9.78641,0.626716,9313685218
0.15,2,H,6.933866,0.765066,2902399509
0.15,2,N,6.933866,0.634675,8967210330
0.15,3,H,6.194626,0.619209,2816506240
0.15,3,N,6.194626,0.617345,8912888563
0.15,4,H,5.180717,0.621715,2788160282
0.15,4,N,5.180717,0.640601,8961087871
0.15,5,H,5.627036,0.635697,2773959379
0.15,5,N,5.627036,0.622701,9072085220
0.15,6,H,6.075569,0.62824,2779541476
0.15,6,N,6.075569,0.639393,9155832161
0.15,7,H,4.474881,0.636272,2788767708
0.15,7,N,4.474881,0.625579,9290702411
0.15,8,H,4.774735,0.629134,2802748076
0.15,8,N,4.774735,0.637476,9387179332
0.15,9,H,5.07468,0.639619,2820347216
0.15,9,N,5.07468,0.63128,9505800506
0.15,10,H,5.37466,0.641955,2836221507
0.15,10,N,5.37466,0.681537,9641436047
0.15,11,H,5.674652,0.640619,2858937300
0.15,11,N,5.674652,0.641649,9743367412
0.15,12,H,5.974649,0.646326,2876662927
0.15,12,N,5.974649,0.692018,9836002493
0.2,1,H,7.499996,0.655636,3103113452
0.2,1,N,7.499996,0.637648,9311282268
0.2,2,H,5.710251,0.648817,2858141924
0.2,2,N,5.710251,0.632727,8987433040
0.2,3,H,4.843484,0.635858,2797625187
0.2,3,N,4.843484,0.619191,8989556943
0.2,4,H,5.42215,0.630959,2779199141
0.2,4,N,5.42215,0.701071,9103994956
0.2,5,H,4.007346,0.66666,2783513536
0.2,5,N,4.007346,0.624959,9258992444
0.2,6,H,4.403588,0.630146,2803213895
0.2,6,N,4.403588,0.631758,9389201867
0.2,7,H,4.801728,0.63698,2827565508
0.2,7,N,4.801728,0.711734,9543167537
0.2,8,H,5.200823,0.644244,2851255033
0.2,8,N,5.200823,0.66034,9706179103
0.2,9,H,5.600389,0.64596,2876805656
