alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.1,1,N,12.222214,,
0.1,1,H,12.222214,,
0.15,3,N,5.819973,,
0.15,3,H,5.819973,,
0.1,2,N,7.22169,,
0.1,2,H,7.22169,,
0.1,9,N,5.700001,,
0.1,9,H,5.700001,,
0.15,8,N,4.400087,,
0.15,8,H,4.400087,,
0.15,1,N,9.411757,,
0.15,1,H,9.411757,,
0.1,5,N,4.500257,,
0.1,5,H,4.500257,,
0.2,2,N,5.710245,,
0.2,2,H,5.710245,,
0.1,3,N,6.505428,,
0.1,3,H,6.505428,,
0.1,7,N,5.100016,,
0.1,7,H,5.100016,,
0.2,4,N,5.422144,,
0.2,4,H,5.422144,,
0.2,8,N,5.200822,,
0.2,8,H,5.200822,,
0.2,7,N,4.801726,,
0.2,7,H,4.801726,,
0.15,7,N,4.100233,,
0.15,7,H,4.100233,,
0.3,1,N,5.714278,,
0.3,1,H,5.714278,,
0.15,9,N,4.700032,,
0.15,9,H,4.700032,,
0.15,5,N,5.252387,,
0.15,5,H,5.252387,,
0.2,5,N,4.007343,,
0.2,5,H,4.007343,,
0.25,1,N,6.66666,,
0.25,1,H,6.66666,,
0.1,6,N,4.800069,,
0.1,6,H,4.800069,,
0.45,1,N,5.454522,,
0.45,1,H,5.454522,,
0.25,2,N,4.660211,,
0.25,2,H,4.660211,,
0.15,2,N,6.559216,,
0.15,2,H,6.559216,,
0.45,2,N,4.466482,,
0.45,2,H,4.466482,,
0.2,1,N,7.499991,,
0.2,1,H,7.499991,,
0.45,8,N,9.436073,,
0.45,8,H,9.436073,,
0.1,4,N,5.601239,,
0.1,4,H,5.601239,,
0.4,6,N,6.98432,,
0.4,6,H,6.98432,,
0.25,9,N,6.502439,,
0.25,9,H,6.502439,,
0.3,4,N,4.486701,,
0.3,4,H,4.486701,,
0.5,1,N,5.999965,,
0.5,1,H,5.999965,,
0.25,3,N,5.348573,,
0.25,3,H,5.348573,,
0.35,2,N,5.545691,,
0.35,2,H,5.545691,,
0.45,3,N,5.278407,,
0.45,3,H,5.278407,,
0.4,8,N,8.511062,,
0.4,8,H,8.511062,,
0.25,5,N,4.523167,,
0.25,5,H,4.523167,,
0.25,7,N,5.507673,,
0.25,7,H,5.507673,,
0.35,6,N,6.289402,,
0.35,6,H,6.289402,,
0.35,4,N,4.967782,,
0.35,4,H,4.967782,,
0.35,7,N,6.964351,,
0.35,7,H,6.964351,,
0.15,4,N,4.806068,,
0.15,4,H,4.806068,,
0.15,6,N,5.70092,,
0.15,6,H,5.70092,,
0.3,2,N,5.077391,,
0.3,2,H,5.077391,,
0.45,7,N,8.586341,,
0.45,7,H,8.586341,,
0.2,9,N,5.600388,,
0.2,9,H,5.600388,,
0.55,9,N,12.640035,,
0.55,9,H,12.640035,,
0.2,3,N,4.843478,,
0.2,3,H,4.843478,,
0.3,5,N,5.057781,,
0.3,5,H,5.057781,,
0.4,3,N,4.770324,,
0.4,3,H,4.770324,,
0.35,1,N,6.15383,,
0.35,1,H,6.15383,,
0.6,8,N,13.006257,,
0.6,8,H,13.006257,,
0.6,2,N,6.275049,,
0.6,2,H,6.275049,,
0.25,8,N,6.004343,,
0.25,8,H,6.004343,,
0.25,6,N,5.013416,,
0.25,6,H,5.013416,,
0.35,8,N,7.645974,,
0.35,8,H,7.645974,,
0.4,7,N,7.743523,,
0.4,7,H,7.743523,,
0.4,2,N,6.079887,,
0.4,2,H,6.079887,,
0.1,8,N,5.400004,,
0.1,8,H,5.400004,,
0.35,5,N,5.623128,,
0.35,5,H,5.623128,,
0.5,2,N,4.954991,,
0.5,2,H,4.954991,,
0.35,9,N,8.332639,,
0.35,9,H,8.332639,,
0.3,3,N,5.892036,,
0.3,3,H,5.892036,,
0.45,9,N,10.293755,,
0.45,9,H,10.293755,,
0.45,6,N,7.745472,,
0.45,6,H,7.745472,,
0.3,8,N,6.81598,,
0.3,8,H,6.81598,,
0.45,5,N,6.914136,,
0.45,5,H,6.914136,,
0.5,3,N,5.871535,,
0.5,3,H,5.871535,,
0.2,6,N,4.403584,,
0.2,6,H,4.403584,,
0.5,6,N,8.603767,,
0.5,6,H,8.603767,,
0.5,7,N,9.526144,,
0.5,7,H,9.526144,,
0.5,9,N,11.394246,,
0.5,9,H,11.394246,,
0.55,6,N,9.602448,,
0.55,6,H,9.602448,,
0.4,1,N,4.999987,,
0.4,1,H,4.999987,,
0.55,7,N,10.609786,,
0.55,7,H,10.609786,,
