NGPU,normal,alpha,bucket,kernel_instances,GPU_duration_ms,L1GlobalLoadSectors,status,error
4,0,0.2,5,4,3499.181056,70571936589.0,OK,
4,1,0.2,5,4,4819.388704,146480171001.0,OK,
8,0,0.2,5,8,1975.35248,38570591626.0,OK,
8,1,0.2,5,8,3396.953696,112428230923.0,OK,
16,0,0.2,5,16,1427.087104,22794317479.0,OK,
16,1,0.2,5,16,2050.574208,76376207205.0,OK,
32,0,0.2,5,32,1236.319616,16204852317.0,OK,
32,1,0.2,5,32,1465.680864,43456235118.0,OK,
64,0,0.2,5,64,1092.996032,12155480291.0,OK,
64,1,0.2,5,64,1187.737152,26666383940.0,OK,
